Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
jawa timur - blitar,6,0.67,8.71,21.04,0.00,22.39,8.30,0.74,73.98,14.30,86.27,37,
jawa timur - kediri,6,1.11,10.65,35.75,0.00,36.34,8.39,0.44,72.97,21.60,78.22,186,
jawa timur - malang,6,1.08,9.55,28.37,0.00,30.38,8.02,0.53,72.95,23.00,79.97,158,
jawa timur - lumajang,6,0.58,9.06,41.27,0.05,38.11,7.24,0.64,70.61,23.80,79.42,169,
jawa timur - jember,6,0.66,9.39,48.11,0.00,30.40,6.74,0.58,69.68,34.90,77.43,201,
jawa timur - banyuwangi,6,0.59,7.51,22.08,0.00,23.49,7.83,0.93,71.06,18.10,84.91,61,
jawa timur - bondowoso,5,0.45,13.47,42.75,0.00,38.83,6.38,0.70,67.29,32.00,75.50,237,
jawa timur - situbondo,6,0.54,11.78,43.32,0.00,39.60,6.64,0.79,69.62,30.90,76.64,220,
jawa timur - probolinggo,5,0.79,17.12,46.50,0.00,41.38,6.32,0.72,67.78,17.30,73.27,263,
jawa timur - pasuruan,6,0.80,8.96,41.38,0.00,28.43,7.18,0.43,70.55,20.50,79.87,162,
jawa timur - sidoarjo,6,2.03,5.36,9.49,0.00,7.50,10.79,0.10,74.36,16.10,83.51,89,
jawa timur - mojokerto,6,0.55,9.71,30.01,0.00,18.73,8.99,0.31,72.93,11.60,86.70,32,
jawa timur - jombang,6,0.61,9.04,34.52,0.00,24.11,8.74,0.28,72.86,22.10,83.99,78,
jawa timur - nganjuk,6,0.45,10.70,32.77,0.00,26.86,8.29,0.51,71.95,20.00,83.68,84,
jawa timur - madiun,6,0.33,10.79,23.85,0.04,26.05,8.02,0.65,71.90,17.60,85.32,54,
jawa timur - magetan,6,0.35,9.84,33.79,0.00,20.42,8.85,0.39,72.97,14.90,86.83,30,
jawa timur - ngawi,6,0.19,14.15,27.71,0.00,17.63,7.83,0.55,72.81,28.50,84.98,60,
jawa timur - bojonegoro,6,0.29,12.21,27.45,0.00,15.84,7.59,0.73,72.16,24.30,85.40,50,
jawa timur - tuban,6,0.29,15.02,36.93,0.00,9.38,7.52,0.83,71.97,24.90,84.41,70,
jawa timur - lamongan,6,0.25,12.53,23.88,0.11,9.02,8.42,0.40,72.86,27.50,87.28,25,
jawa timur - gresik,6,0.53,11.06,19.21,0.00,1.94,9.90,0.27,72.99,10.70,90.39,5,
jawa timur - bangkalan,5,0.68,19.44,60.34,0.00,33.12,6.03,0.48,70.54,26.20,73.23,264,
jawa timur - sampang,6,0.57,21.61,53.31,0.00,15.43,5.58,0.56,68.38,6.90,77.08,207,
jawa timur - pamekasan,6,0.84,13.93,48.93,0.00,13.81,7.05,0.32,68.03,8.10,79.44,168,
jawa timur - sumenep,6,0.34,18.76,67.17,0.46,25.44,5.54,0.67,71.99,21.60,77.02,209,
jawa timur - kota kediri,6,0.00,7.23,11.65,0.00,41.73,10.60,0.02,74.34,14.30,76.42,78,
jawa timur - kota blitar,6,0.00,7.37,8.52,0.00,34.86,10.95,0.03,74.26,12.80,79.25,70,
jawa timur - kota malang,6,0.00,4.37,6.07,0.00,18.81,10.86,0.01,73.75,18.00,85.27,43,
jawa timur - kota probolinggo,6,0.00,6.65,2.69,0.00,6.96,9.33,0.05,70.68,23.30,80.01,66,
jawa timur - kota pasuruan,6,0.00,6.37,20.04,0.00,9.33,9.48,0.04,71.96,21.10,81.45,60,
jawa timur - kota mojokerto,6,0.00,5.98,9.07,0.00,7.16,11.12,0.01,73.74,8.40,89.83,15,
jawa timur - kota madiun,6,0.00,4.76,10.67,0.00,2.04,11.58,0.02,73.13,9.70,92.49,5,
jawa timur - kota surabaya,6,0.00,4.72,9.97,0.00,1.13,10.42,0.01,74.47,4.80,92.14,6,
jawa timur - kota batu,6,0.00,3.79,5.99,0.00,21.02,10.09,0.19,72.97,25.20,80.16,64,
banten - pandeglang,5,0.43,9.32,35.45,0.17,56.41,7.33,1.16,65.20,29.40,74.87,243,
banten - lebak,5,0.60,8.91,54.54,1.64,64.32,6.92,1.00,67.74,26.20,72.32,274,
banten - tangerang,6,2.19,6.92,24.42,0.00,15.48,9.21,0.11,70.28,21.10,76.49,223,
banten - serang,6,0.69,4.96,43.30,0.12,28.72,8.12,0.51,65.18,26.40,79.26,172,
banten - kota tangerang,6,0.00,5.77,7.69,0.00,7.92,10.56,0.02,71.91,11.80,86.39,36,
banten - kota cilegon,6,0.00,3.64,14.32,0.00,8.45,10.30,0.07,67.02,19.10,81.54,59,
banten - kota serang,6,0.00,5.94,35.75,0.00,25.19,8.63,0.10,68.54,23.80,71.42,87,
banten - kota tangerang selatan,6,0.00,2.50,4.38,0.00,23.16,11.34,0.02,72.78,9.00,87.43,30,
bali - jembrana,6,1.07,5.30,13.77,0.00,14.16,8.60,0.77,72.82,14.20,86.59,33,
bali - tabanan,6,0.52,5.18,9.83,0.00,20.65,9.00,0.34,74.10,8.20,90.54,4,
bali - badung,6,1.04,2.53,2.65,0.00,12.23,10.49,0.09,75.51,6.60,91.59,2,
bali - gianyar,6,0.75,4.70,0.69,0.00,8.23,9.35,0.13,74.13,6.30,92.16,1,
bali - klungkung,6,0.97,6.07,5.60,0.00,14.17,8.43,0.20,71.83,7.70,87.53,19,
bali - bangli,6,1.96,5.28,17.28,0.00,31.03,7.63,0.35,70.97,9.10,77.35,202,
bali - karangasem,6,0.73,6.98,7.21,0.06,26.60,6.85,0.58,70.89,9.20,85.28,57,
bali - buleleng,6,1.45,6.21,24.05,0.00,19.10,7.80,0.57,72.32,11.00,82.02,118,
bali - kota denpasar,6,0.00,2.97,2.85,0.00,1.49,11.22,0.01,75.30,5.50,95.80,1,
nusa tenggara barat - lombok barat,5,0.90,13.39,50.21,0.00,31.91,6.99,0.60,67.63,34.00,73.44,260,
nusa tenggara barat - lombok tengah,5,0.50,12.89,53.78,0.00,27.47,6.74,0.37,66.75,37.00,75.60,236,
nusa tenggara barat - lombok timur,5,0.84,15.14,61.11,0.18,34.72,7.52,0.37,66.55,35.60,71.48,284,
nusa tenggara barat - sumbawa,6,0.20,13.50,35.97,0.00,9.75,8.90,2.41,68.12,29.70,84.00,77,
nusa tenggara barat - dompu,6,0.19,12.40,49.27,0.12,33.27,8.81,1.24,67.36,34.50,78.85,182,
nusa tenggara barat - bima,6,0.28,14.50,55.68,0.13,31.45,8.94,1.56,66.87,29.50,77.68,198,
nusa tenggara barat - sumbawa barat,6,0.30,13.02,34.60,0.00,8.69,9.02,1.92,68.74,13.90,86.02,39,
nusa tenggara barat - lombok utara,4,0.91,25.93,65.08,0.09,40.37,6.55,0.88,67.75,35.90,65.92,322,
nusa tenggara barat - kota mataram,6,0.00,8.63,34.75,0.00,11.38,9.23,0.01,72.20,25.80,77.79,74,
nusa tenggara barat - kota bima,6,0.00,8.80,25.07,0.00,19.78,10.92,0.21,70.83,31.20,74.31,83,
nusa tenggara timur - kupang,5,0.92,21.70,24.32,7.35,45.97,7.98,3.36,65.28,35.30,69.02,308,
nusa tenggara timur - timor tengah selatan,4,0.91,25.45,48.06,9.53,33.86,7.16,2.56,66.68,35.30,67.61,313,
nusa tenggara timur - timor tengah utara,5,0.65,21.50,50.33,2.71,27.42,8.30,1.67,67.35,35.30,72.96,268,
nusa tenggara timur - belu,6,0.48,14.84,31.82,3.86,34.10,7.87,0.94,65.28,35.30,75.69,233,
nusa tenggara timur - alor,4,0.88,20.25,47.72,2.26,55.45,8.04,1.80,61.99,35.30,65.43,329,
nusa tenggara timur - flores timur,5,1.26,10.75,30.61,1.83,29.13,7.87,1.05,65.62,35.30,73.54,259,
nusa tenggara timur - sikka,6,0.99,12.61,22.04,5.24,20.09,7.36,0.86,67.86,35.30,77.07,208,
nusa tenggara timur - ende,5,0.83,23.00,33.26,0.89,20.17,8.50,1.09,65.76,35.30,73.42,261,
nusa tenggara timur - ngada,6,0.44,11.93,27.68,4.34,16.89,8.73,1.49,68.40,35.30,81.74,125,
nusa tenggara timur - manggarai,6,0.62,19.84,36.89,3.29,12.70,7.96,0.60,67.38,35.30,76.93,210,
nusa tenggara timur - sumba timur,5,0.60,28.22,24.27,3.40,37.56,8.03,4.89,65.38,35.30,70.21,296,
nusa tenggara timur - sumba barat,5,0.64,27.47,27.94,13.08,39.39,7.16,0.90,67.35,35.30,69.46,304,
nusa tenggara timur - lembata,5,1.02,25.18,22.81,2.10,42.92,7.55,1.47,67.52,35.30,69.00,309,
nusa tenggara timur - rote ndao,5,0.78,27.45,23.08,2.00,33.12,8.09,1.79,65.26,35.30,70.43,294,
nusa tenggara timur - manggarai barat,6,0.32,17.15,28.15,3.67,38.44,8.35,2.00,67.73,35.30,76.76,217,
nusa tenggara timur - nagekeo,5,0.87,12.05,21.98,1.27,48.02,8.10,1.62,67.56,35.30,74.27,248,
nusa tenggara timur - sumba tengah,4,0.38,32.51,37.03,12.94,51.77,7.61,3.52,68.65,35.30,67.29,315,
nusa tenggara timur - sumba barat daya,4,0.54,27.16,63.58,20.53,69.30,7.18,1.20,68.79,35.30,62.66,337,
nusa tenggara timur - manggarai timur,4,0.58,25.35,61.74,6.29,55.27,7.89,1.24,68.29,35.30,66.69,319,
nusa tenggara timur - sabu raijua,3,1.60,28.73,40.52,6.31,49.69,7.60,0.93,60.87,35.30,58.42,358,
nusa tenggara timur - malaka,5,0.49,15.26,36.06,4.77,46.82,7.59,0.96,65.34,35.30,73.00,267,
nusa tenggara timur - kota kupang,6,0.00,8.61,3.66,0.01,17.64,11.44,0.05,70.11,35.30,75.85,80,
kalimantan barat - sambas,5,0.66,6.92,40.43,0.00,92.70,6.82,3.63,69.39,30.50,69.71,299,
kalimantan barat - mempawah,5,0.97,5.32,20.94,0.00,79.50,7.56,2.51,71.47,25.10,74.04,252,
kalimantan barat - sanggau,6,1.19,4.51,21.06,2.99,38.19,7.35,9.00,71.58,32.50,77.82,194,
kalimantan barat - ketapang,6,0.92,9.39,21.65,3.49,56.22,7.88,12.65,71.27,22.30,75.99,230,
kalimantan barat - sintang,5,1.57,8.57,21.19,9.81,37.50,7.71,11.69,72.12,18.70,75.46,239,
kalimantan barat - kapuas hulu,5,1.78,8.59,38.01,3.67,43.73,8.01,22.15,72.69,37.90,69.97,297,
kalimantan barat - bengkayang,6,0.61,6.03,19.20,4.20,47.88,8.09,4.09,74.00,30.10,81.36,133,
kalimantan barat - landak,6,0.53,10.01,32.75,6.43,55.23,7.40,7.07,73.39,32.50,76.89,215,
kalimantan barat - sekadau,5,1.25,5.85,32.63,5.57,65.60,7.16,7.24,72.39,35.50,71.55,283,
kalimantan barat - melawi,3,3.74,11.44,39.14,6.38,54.44,7.62,10.45,73.14,44.10,54.80,368,
kalimantan barat - kayong utara,5,0.56,9.04,27.27,0.61,62.30,6.62,8.27,68.82,25.10,75.27,241,
kalimantan barat - kubu raya,5,1.45,4.12,27.65,0.12,89.35,7.34,5.77,70.95,27.60,68.61,312,
kalimantan barat - kota pontianak,6,0.00,4.46,11.16,0.00,60.17,10.42,0.03,73.46,19.70,71.15,88,
kalimantan barat - kota singkawang,5,0.00,4.67,13.03,0.07,44.75,8.54,0.30,72.46,23.50,68.12,92,
kalimantan  tengah - kotawaringin barat,4,5.00,3.93,13.93,0.00,18.93,8.61,8.00,70.98,21.10,60.27,347,
kalimantan  tengah - kotawaringin timur,5,2.15,5.95,22.52,0.32,25.29,7.96,9.38,70.15,27.90,73.69,257,
kalimantan  tengah - kapuas,6,0.49,5.52,36.19,1.86,42.22,8.10,10.78,69.02,20.10,80.59,148,
kalimantan  tengah - barito selatan,4,2.83,4.88,32.98,0.14,34.18,9.00,6.19,67.48,35.60,66.35,320,
kalimantan  tengah - barito utara,6,0.96,5.80,24.58,2.21,25.24,9.36,10.46,71.50,19.60,83.01,102,
kalimantan  tengah - katingan,6,0.94,5.50,29.77,2.32,37.80,9.24,21.34,66.16,29.90,76.74,218,
kalimantan  tengah - seruyan,3,3.99,7.43,24.50,0.11,31.69,7.92,16.98,69.46,34.70,59.25,353,
kalimantan  tengah - sukamara,4,4.84,3.72,21.98,2.40,22.43,8.32,8.02,71.80,21.80,60.04,349,
kalimantan  tengah - lamandau,3,4.71,3.34,26.00,5.47,23.96,8.91,12.55,69.62,25.50,58.90,356,
kalimantan  tengah - gunung mas,3,5.00,5.64,26.45,0.72,42.85,9.51,11.08,70.72,17.90,55.49,367,
kalimantan  tengah - pulang pisau,6,0.26,4.70,18.59,0.00,49.50,8.66,13.54,68.36,31.60,81.33,136,
kalimantan  tengah - murung raya,2,5.00,6.40,23.12,5.20,53.53,8.43,25.35,69.75,40.90,49.08,384,
kalimantan  tengah - barito timur,6,1.08,6.59,12.26,2.75,33.84,10.11,4.42,68.61,26.90,80.29,154,
kalimantan  tengah - kota palangkaraya,6,0.00,3.61,6.80,0.03,9.56,11.45,1.26,73.47,27.80,79.61,68,
kalimantan selatan - tanah laut,6,0.62,3.86,21.31,0.11,30.86,8.02,2.78,69.86,26.60,83.45,90,
kalimantan selatan - kotabaru,5,2.72,4.30,22.43,0.99,26.49,7.77,8.39,69.56,31.60,69.84,298,
kalimantan selatan - banjar,6,0.79,2.79,26.87,0.13,29.68,7.99,2.05,67.73,26.40,81.63,126,
kalimantan selatan - barito kuala,6,0.30,4.75,33.44,0.98,36.33,7.88,2.66,66.55,33.60,80.84,143,
kalimantan selatan - tapin,6,0.35,3.60,27.36,0.32,21.06,8.03,2.56,70.88,14.50,88.10,12,
kalimantan selatan - hulu sungai selatan,6,0.71,4.54,24.64,0.01,34.74,8.24,1.35,66.51,20.30,81.31,138,
kalimantan selatan - hulu sungai tengah,6,0.42,5.92,37.94,0.28,43.49,8.64,1.24,66.54,31.10,79.06,176,
kalimantan selatan - hulu sungai utara,5,1.55,6.49,16.65,0.21,35.29,8.17,0.96,64.53,28.00,74.23,249,
kalimantan selatan - tabalong,6,0.86,5.87,20.20,0.29,23.52,9.15,3.25,70.84,19.70,84.31,74,
kalimantan selatan - tanah bumbu,6,1.46,4.26,7.63,0.22,14.67,8.60,2.91,70.70,16.10,83.73,82,
kalimantan selatan - balangan,6,1.06,5.83,19.23,0.00,15.22,8.74,2.48,68.13,29.80,81.94,120,
kalimantan selatan - kota banjarmasin,6,0.00,4.74,15.04,0.00,1.03,9.81,0.02,71.59,22.40,85.62,40,
kalimantan selatan - kota banjarbaru,6,0.00,4.17,10.44,0.00,18.19,11.01,0.20,72.36,22.10,82.35,57,
kalimantan timur - paser,6,1.02,9.43,14.86,0.00,16.07,9.09,7.92,72.89,24.90,83.70,83,
kalimantan timur - kutai kartanegara,6,1.17,7.96,7.22,0.00,3.11,9.27,10.88,72.65,27.10,85.53,47,
kalimantan timur - berau,6,1.28,5.65,5.62,0.28,8.71,9.41,14.66,72.32,21.60,85.33,53,
kalimantan timur - kutai barat,3,5.00,10.20,12.78,0.00,23.51,9.37,10.53,73.10,23.10,58.39,359,
kalimantan timur - kutai timur,4,4.06,9.28,14.89,1.78,11.65,9.33,13.65,73.47,24.70,65.76,324,
kalimantan timur - penajam paser utara,6,0.71,7.25,9.39,0.23,10.95,8.63,3.87,71.71,21.80,87.40,22,
kalimantan timur - mahakam ulu,3,5.00,11.55,15.13,0.50,14.06,9.01,47.99,72.35,14.80,57.68,360,
kalimantan timur - kota balikpapan,6,0.00,2.45,2.93,0.00,2.25,10.67,0.12,74.78,19.60,91.40,8,
kalimantan timur - kota samarinda,6,0.00,4.85,2.27,0.00,0.36,11.19,0.16,74.56,25.30,88.97,21,
kalimantan timur - kota bontang,6,0.00,4.54,5.66,0.47,0.00,10.88,0.13,74.57,21.00,88.76,22,
kalimantan utara - bulungan,6,2.10,9.32,12.34,0.52,19.00,8.98,13.74,72.76,18.90,77.11,206,
kalimantan utara - malinau,5,2.28,6.64,10.47,3.14,28.80,9.33,43.71,71.50,23.50,73.08,266,
kalimantan utara - nunukan,6,1.60,6.13,15.42,0.38,37.32,8.70,13.77,71.41,30.50,76.17,227,
kalimantan utara - tana tidung,4,5.00,4.45,8.42,2.02,14.02,9.35,10.40,71.51,30.70,60.54,345,
kalimantan utara - kota tarakan,6,0.00,6.30,3.90,0.00,4.81,10.15,0.17,74.06,15.40,86.06,37,
sulawesi utara - bolaang mongondow,6,0.33,7.04,42.38,0.00,22.31,8.75,3.35,69.78,19.00,84.87,63,
sulawesi utara - minahasa,6,0.79,7.05,32.77,0.17,23.80,10.66,0.83,71.49,16.50,84.69,65,
sulawesi utara - kepulauan sangihe,3,5.00,10.50,54.42,1.69,31.55,9.17,0.68,70.51,18.50,53.22,372,
sulawesi utara - kepulauan talaud,6,1.37,8.25,49.20,0.27,30.36,9.93,1.48,70.57,26.00,76.51,222,
sulawesi utara - minahasa selatan,6,0.54,9.00,49.51,0.18,22.53,9.87,1.91,70.35,19.20,83.20,93,
sulawesi utara - minahasa utara,6,0.99,6.60,42.64,0.67,17.71,10.30,0.80,71.68,20.50,83.29,92,
sulawesi utara - minahasa tenggara,6,0.68,11.78,52.39,0.00,19.41,9.24,1.45,70.52,26.50,80.44,150,
sulawesi utara - bolaang mongondow utara,6,0.46,7.31,52.29,0.00,27.37,9.17,2.58,68.05,21.90,81.60,128,
sulawesi utara - kep. siau tagulandang biaro,3,5.00,8.20,32.98,2.34,58.11,9.63,0.45,71.27,14.40,52.79,374,
sulawesi utara - bolaang mongondow timur,6,0.87,5.85,43.86,0.00,25.76,8.53,1.77,68.24,30.00,79.36,170,
sulawesi utara - bolaang mongondow selatan,5,1.24,11.92,53.83,1.09,24.91,8.79,3.39,64.74,27.90,72.88,269,
sulawesi utara - kota manado,6,0.00,5.85,26.17,0.00,9.18,10.87,0.03,72.18,18.40,85.33,42,
sulawesi utara - kota bitung,6,0.00,6.20,29.52,0.22,2.99,10.17,0.35,71.38,23.50,80.89,61,
sulawesi utara - kota tomohon,6,0.00,5.26,21.31,0.00,18.85,11.01,0.18,72.44,13.70,83.14,52,
sulawesi utara - kota kotamobagu,6,0.00,5.19,23.91,0.09,22.49,10.13,0.12,70.98,22.90,77.61,76,
sulawesi tengah - banggai,6,0.40,7.33,11.97,0.08,28.96,8.80,4.09,70.88,24.30,85.72,41,
sulawesi tengah - poso,6,0.46,15.18,16.37,0.66,23.57,9.77,4.99,71.19,24.60,83.57,87,
sulawesi tengah - donggala,5,0.87,16.30,31.02,3.02,47.32,8.27,4.61,67.61,32.40,72.27,275,
sulawesi tengah - tolitoli,6,0.68,12.74,15.61,1.01,28.66,8.95,2.66,66.41,30.70,79.18,173,
sulawesi tengah - buol,6,0.53,12.85,23.76,0.38,12.22,9.32,4.22,69.32,32.70,83.11,97,
sulawesi tengah - morowali,6,0.80,12.58,13.54,0.06,18.61,8.99,3.33,69.23,23.30,82.36,111,
sulawesi tengah - banggai kepulauan,3,4.74,13.44,35.33,2.76,18.49,8.64,2.78,66.73,32.60,53.61,370,
sulawesi tengah - parigi moutong,6,0.31,14.63,25.45,1.23,37.97,8.32,3.15,64.35,27.40,77.59,200,
sulawesi tengah - tojo una-una,6,0.92,16.12,26.91,2.20,15.46,8.56,4.77,66.08,31.30,76.93,212,
sulawesi tengah - sigi,6,0.47,12.30,21.46,1.30,47.82,9.28,4.62,70.15,36.80,78.17,187,
sulawesi tengah - banggai laut,2,5.00,13.17,36.88,6.63,30.50,8.30,0.97,65.81,20.00,50.77,380,
sulawesi tengah - morowali utara,6,0.63,12.97,14.62,0.29,21.03,8.92,9.36,69.77,24.70,82.52,107,
sulawesi tengah - kota palu,6,0.00,6.63,4.98,0.00,17.02,11.17,0.10,71.20,24.70,80.05,65,
sulawesi selatan - kepulauan selayar,5,2.18,12.24,36.15,0.49,10.94,8.34,0.79,68.81,32.10,71.87,280,
sulawesi selatan - bulukumba,6,0.32,7.39,35.74,1.69,26.90,8.72,0.51,68.51,28.40,83.03,100,
sulawesi selatan - bantaeng,6,0.38,9.07,29.36,0.00,16.62,7.44,0.28,70.88,22.10,85.38,51,
sulawesi selatan - jeneponto,6,0.32,13.73,33.65,0.20,17.82,7.53,0.38,66.81,39.80,79.69,165,
sulawesi selatan - takalar,6,0.44,8.25,14.29,0.00,16.98,8.17,0.25,67.64,31.30,84.39,71,
sulawesi selatan - gowa,6,0.32,7.36,24.81,0.11,22.15,8.83,0.76,70.70,33.00,85.24,58,
sulawesi selatan - sinjai,6,0.46,8.80,18.06,0.27,25.17,8.14,0.49,67.68,29.40,82.73,106,
sulawesi selatan - bone,6,0.14,10.58,11.54,1.09,29.03,7.91,1.29,67.57,27.80,83.86,79,
sulawesi selatan - maros,6,0.34,9.43,20.64,0.36,24.32,8.16,0.75,69.28,30.10,83.74,81,
sulawesi selatan - pangkajene dan kepulauan,6,0.55,13.92,28.00,0.00,23.00,8.93,0.37,67.12,34.20,79.47,167,
sulawesi selatan - barru,6,0.23,8.40,21.04,0.29,19.38,8.70,0.98,69.35,14.10,87.71,17,
sulawesi selatan - soppeng,6,0.12,7.49,16.67,0.43,28.61,8.43,0.86,70.20,26.90,86.35,36,
sulawesi selatan - wajo,6,0.09,6.57,26.16,0.71,27.44,7.45,1.49,67.82,28.60,84.36,73,
sulawesi selatan - sidenreng rappang,6,0.11,5.11,15.97,0.70,27.72,8.43,0.97,70.41,27.30,87.52,20,
sulawesi selatan - pinrang,6,0.14,8.79,18.94,0.16,24.02,8.76,0.98,70.15,20.90,87.20,26,
sulawesi selatan - enrekang,6,0.54,12.39,25.92,0.18,28.71,9.17,1.24,71.17,26.40,82.12,115,
sulawesi selatan - luwu,6,0.24,12.49,28.74,0.55,40.63,9.13,1.30,70.75,26.70,81.61,127,
sulawesi selatan - tana toraja,6,0.65,12.18,24.73,0.37,53.27,8.90,1.55,73.72,35.40,77.74,196,
sulawesi selatan - luwu utara,6,0.25,13.22,17.32,0.48,25.00,8.47,4.03,69.03,29.80,83.03,101,
sulawesi selatan - luwu timur,6,0.26,6.81,11.68,0.17,24.78,8.97,3.03,70.94,22.60,87.82,15,
sulawesi selatan - toraja utara,6,0.50,11.65,33.66,0.05,40.60,9.21,0.89,73.65,34.10,80.44,151,
sulawesi selatan - kota makassar,6,0.00,4.58,11.30,0.00,4.31,11.43,0.01,72.40,18.40,89.28,20,
sulawesi selatan - kota pare pare,6,0.00,5.41,10.10,0.00,7.01,10.49,0.07,71.57,27.10,83.07,55,
sulawesi selatan - kota palopo,6,0.00,7.78,15.81,0.12,4.33,11.39,0.14,71.18,23.80,82.93,56,
sulawesi  tenggara - kolaka,6,0.82,11.51,15.87,0.08,6.63,9.36,1.87,71.30,22.60,85.56,45,
sulawesi  tenggara - konawe,6,0.36,12.75,18.50,0.00,22.61,9.51,2.51,70.38,28.30,84.23,75,
sulawesi  tenggara - muna,5,1.47,13.41,31.11,0.23,31.59,8.56,0.86,70.47,31.30,73.99,253,
sulawesi  tenggara - buton,5,2.34,13.27,31.29,1.05,20.93,9.06,1.67,68.46,32.60,69.46,303,
sulawesi  tenggara - konawe selatan,6,0.54,11.08,20.11,0.27,9.63,8.54,3.13,70.95,28.00,85.31,56,
sulawesi  tenggara - bombana,6,0.36,10.26,17.72,0.18,6.67,8.40,3.43,69.20,35.30,85.63,42,
sulawesi  tenggara - wakatobi,3,5.00,14.55,23.07,1.45,37.42,8.75,0.52,70.59,29.90,51.98,378,
sulawesi  tenggara - kolaka utara,4,3.74,13.08,19.77,0.11,9.10,8.96,1.56,70.40,24.80,65.55,328,
sulawesi  tenggara - konawe utara,6,1.27,13.72,30.05,0.13,15.53,9.44,5.16,69.59,21.60,78.67,183,
sulawesi  tenggara - buton utara,6,1.19,14.26,17.35,0.99,12.41,9.08,2.78,70.96,31.20,79.87,163,
sulawesi  tenggara - kolaka timur,6,0.24,13.57,18.65,0.00,18.62,8.74,4.81,72.90,23.70,86.40,35,
sulawesi  tenggara - konawe kepulauan,2,5.00,16.15,17.91,0.23,40.20,9.13,1.83,68.46,32.30,50.43,382,
sulawesi  tenggara - muna barat,6,0.80,13.85,31.62,2.36,35.89,8.45,1.11,70.39,31.70,76.92,213,
sulawesi  tenggara - buton tengah,4,2.73,14.90,20.28,0.24,10.20,7.52,1.15,67.78,41.60,66.97,317,
sulawesi  tenggara - buton selatan,4,2.11,14.41,31.58,0.31,55.22,8.18,0.60,67.76,32.60,64.54,331,
sulawesi  tenggara - kota kendari,6,0.00,4.57,9.42,0.00,11.75,12.21,0.09,73.93,19.50,88.34,25,
sulawesi  tenggara - kota bau bau,6,0.00,7.31,10.97,0.31,6.09,11.00,0.25,71.36,26.00,80.48,63,
gorontalo - gorontalo,6,0.39,17.71,29.08,2.27,17.80,8.59,1.13,67.89,30.80,80.13,157,
gorontalo - boalemo,6,0.22,18.74,41.07,0.56,11.31,8.04,2.12,69.61,29.90,81.41,131,
gorontalo - bone bolango,6,1.12,16.05,26.34,0.00,18.16,9.08,1.99,68.88,22.30,78.27,185,
gorontalo - pahuwato,6,0.19,17.87,36.66,0.16,4.58,8.11,4.91,64.62,6.40,83.34,91,
gorontalo - gorontalo utara,6,0.28,17.24,38.83,0.62,19.21,7.82,2.56,66.30,29.30,79.07,175,
gorontalo - kota gorontalo,6,0.00,5.73,2.02,0.00,2.26,10.69,0.04,72.88,19.10,87.59,29,
sulawesi barat - mamuju utara,4,4.42,5.09,15.63,1.05,24.33,8.41,3.84,66.90,25.80,60.10,348,
sulawesi barat - mamuju,6,0.52,7.63,18.82,0.97,26.20,8.36,2.38,68.21,33.80,82.26,113,
sulawesi barat - mamasa,5,0.51,14.51,33.61,1.06,69.26,8.21,2.33,71.20,38.60,72.65,272,
sulawesi barat - polewali mandar,5,0.44,16.39,34.42,0.45,30.13,7.96,0.86,62.86,39.30,74.59,246,
sulawesi barat - majene,4,2.55,15.13,23.22,0.07,11.76,9.57,0.69,62.16,40.60,66.33,321,
sulawesi barat - mamuju tengah,6,0.87,7.17,13.42,0.43,21.46,8.09,3.17,68.97,28.10,82.26,112,
maluku - maluku tengah,5,1.71,17.46,22.03,1.93,25.14,10.05,4.11,66.73,27.00,72.21,276,
maluku - maluku tenggara,3,3.86,21.19,13.93,1.82,37.06,9.81,1.16,65.46,26.80,56.04,365,
maluku - maluku tenggara barat,4,2.54,23.88,16.05,0.72,30.31,10.13,5.33,63.73,31.50,62.75,336,
maluku - buru,6,0.50,15.82,11.76,1.26,27.48,9.40,4.66,66.72,23.30,80.85,142,
maluku - seram bagian timur,5,0.92,20.73,23.45,14.92,43.04,8.87,4.38,60.06,24.10,68.78,311,
maluku - seram bagian barat,3,2.35,22.25,28.79,2.40,53.70,9.93,3.61,62.25,27.50,59.50,351,
maluku - kepulauan aru,2,5.00,23.51,16.66,31.21,34.75,9.03,11.82,63.29,28.10,44.01,394,
maluku - maluku barat daya,4,1.77,27.64,11.78,1.47,37.63,9.57,6.97,62.98,25.70,65.24,330,
maluku - buru selatan,3,3.34,14.75,22.58,8.18,31.48,8.46,4.50,66.69,41.60,59.08,355,
maluku - kota ambon,6,0.00,4.68,6.71,0.22,12.25,12.06,0.09,71.00,21.10,84.73,44,
maluku - kota tual,4,0.00,20.56,6.80,1.70,17.90,10.60,0.49,66.16,24.90,54.91,97,
maluku utara - halmahera barat,3,5.00,8.43,16.09,2.43,42.89,8.94,2.47,66.64,23.90,52.84,373,
maluku utara - halmahera tengah,2,4.91,12.00,3.85,1.24,48.01,9.26,4.12,64.61,32.20,50.67,381,
maluku utara - halmahera utara,6,1.15,4.58,13.76,1.93,29.84,8.73,3.48,69.88,24.90,81.20,140,
maluku utara - halmahera selatan,3,5.00,4.99,20.19,5.32,40.88,8.51,4.87,66.22,31.40,52.40,376,
