OBJECTID,NAMOBJ,FCODE,REMARK,METADATA,SRS_ID,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKK,WIADPR,WIADKD,SHAPE_Length,SHAPE_Area
274,Padang Pariaman,BA03050040,,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"13.05","13",1342.26642305811,4, , ,Padang Pariaman,Sumatera Barat, , , ,0,2.05428945066885,0.109052305331168
275,Adm. Kep. Seribu,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"31.01","31",10.7251053118654,4, , ,Adm. Kep. Seribu,DKI Jakarta, ,Kota Administrasi Jakarta Utara, ,0,1.45056426943834,0.000875535814176994
276,Alor,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"53.05","53",2928.55881853694,4, , ,Alor,Nusa Tenggara Timur, , , ,0,5.67288749982474,0.240372651839843
277,Badung,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"51.03","51",398.749249067896,4, , ,Badung,Bali, , , ,0,2.22696067934812,0.0327520280612154
278,Bandung,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.04","32",1740.8434422903,4, , ,Bandung,Jawa Barat, , , ,0,3.24281979474368,0.142490874791713
279,Bandung Barat,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.17","32",1283.43884052549,4, , ,Bandung Barat,Jawa Barat, ,Bandung, ,0,2.56462783975859,0.105006220944792
280,Bangkalan,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.26","35",1301.02971861589,4, , ,Bangkalan,Jawa Timur, , , ,0,2.04020315471717,0.10647939059617
281,Bangli,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"51.06","51",526.764050572876,4, , ,Bangli,Bali, , , ,0,1.43224383721391,0.0432350172572919
282,Banjarnegara,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.04","33",1144.89624285875,4, , ,Banjarnegara,Jawa Tengah, , , ,0,2.29737857296489,0.0937628524267644
283,Bantul,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"34.02","34",511.706451505486,4, , ,Bantul,Daerah Istimewa Yogyakarta, , , ,0,1.85348379735798,0.0419593414754519
284,Banyumas,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.02","33",1391.15298241666,4, , ,Banyumas,Jawa Tengah, , , ,0,2.1971315671972,0.113956574471914
285,Banyuwangi,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.10","35",3592.89823718891,4, , ,Banyuwangi,Jawa Timur, , , ,0,4.37922990376297,0.294947030755395
286,Batang,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.25","33",857.265387967714,4, , ,Batang,Jawa Tengah, , , ,0,1.53113691965642,0.0701572178554925
287,Bekasi,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.16","32",1251.05417690749,4, , ,Bekasi,Jawa Barat, , , ,0,3.13519004377486,0.102222749159873
288,Belu,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"53.04","53",1127.25008655286,4, , ,Belu,Nusa Tenggara Timur, , , ,0,2.29261763368788,0.0927289736817107
289,Bima,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"52.06","52",4216.08823404454,4, , ,Bima,Nusa Tenggara Barat, , , ,0,9.13558511536137,0.346201515238144
290,Blitar,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.05","35",1745.2181921456,4, , ,Blitar,Jawa Timur, , , ,0,2.87635868523708,0.143184765830137
291,Blora,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.16","33",1957.28906018847,4, , ,Blora,Jawa Tengah, , , ,0,2.58866522739411,0.160199569336529
292,Bogor,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.01","32",2991.77845696533,4, , ,Bogor,Jawa Barat, , , ,0,4.52655089353594,0.24461414892152
293,Bojonegoro,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.22","35",2312.62695889122,4, , ,Bojonegoro,Jawa Timur, , , ,0,3.2297135203482,0.189356266448509
294,Bondowoso,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.11","35",1554.99183623093,4, , ,Bondowoso,Jawa Timur, , , ,0,2.21701743988469,0.127520398307018
295,Boyolali,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.09","33",1096.59390273917,4, , ,Boyolali,Jawa Tengah, , , ,0,3.03432751109924,0.0898200045795599
296,Brebes,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.29","33",1742.81046481556,4, , ,Brebes,Jawa Tengah, , , ,0,3.15258525321854,0.142641649292258
297,Buleleng,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"51.08","51",1322.68204175702,4, , ,Buleleng,Bali, , , ,0,3.45596914746104,0.108536572803359
298,Ciamis,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.07","32",1595.9370183059,4, , ,Ciamis,Jawa Barat, , , ,0,3.00432817676326,0.130684178052152
299,Cianjur,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.03","32",3631.91547546155,4, , ,Cianjur,Jawa Barat, , , ,0,4.39863788274049,0.297301430285862
300,Cilacap,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.01","33",2323.92611642035,4, , ,Cilacap,Jawa Tengah, , , ,0,4.8387297948933,0.190379615480674
301,Cirebon,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.09","32",1076.75913411099,4, , ,Cirebon,Jawa Barat, , , ,0,2.80527094314605,0.088070662258024
302,Demak,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.21","33",977.770492703969,4, , ,Demak,Jawa Tengah, , , ,0,2.70273254321264,0.0800008869005903
303,Dompu,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"52.05","52",2281.75199540256,4, , ,Dompu,Nusa Tenggara Barat, , , ,0,4.42381124853416,0.187363045702512
304,Flores Timur,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"53.06","53",1748.51655229523,4, , ,Flores Timur,Nusa Tenggara Timur, , , ,0,4.68012528848514,0.143538260694041
305,Garut,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.05","32",3101.2353027601,4, , ,Garut,Jawa Barat, , , ,0,3.52240202404102,0.253985367335624
306,Gianyar,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"51.04","51",364.35816374709,4, , ,Gianyar,Bali, , , ,0,1.07224046599166,0.0299193677064203
307,Gresik,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.25","35",1256.36362928813,4, , ,Gresik,Jawa Timur, , , ,0,4.62240750911983,0.102802412977504
308,Grobogan,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.15","33",2023.84920330731,4, , ,Grobogan,Jawa Tengah, , , ,0,3.1964100849457,0.165662291317543
309,Gunungkidul,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"34.03","34",1475.13305799995,4, , ,Gunungkidul,Daerah Istimewa Yogyakarta, , , ,0,2.48608301115697,0.120985921016079
310,Indramayu,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.12","32",2076.05552996993,4, , ,Indramayu,Jawa Barat, , , ,0,3.23651627828103,0.169705714280917
311,Jawa Timur,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,,"35",0.857572029898941,6, , ,,Jawa Timur, , , ,0,0.0464497290375555,7.02665048798777e-05
312,Jawa Timur,BA03050040,Berdasarkan Berita Acara Verifikasi tahun 2008 Pulau Galang merupakan kewenangan Provinsi Jawa Timur,TASWIL5000020230907KABKOTA,"4326", , , , ,, , ,"35",0.123134776564166,6, , ,,Jawa Timur, , , ,0,0.0176934630571634,1.0080857328043e-05
313,Jember,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.09","35",3313.45959381858,4, , ,Jember,Jawa Timur, , , ,0,4.40677201960509,0.271919059366719
314,Jembrana,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"51.01","51",849.13376358988,4, , ,Jembrana,Bali, , , ,0,1.72328728950943,0.0696974546427964
315,Jepara,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.20","33",1020.24572452462,4, , ,Jepara,Jawa Tengah, , , ,0,2.99264977548343,0.0834159802668978
316,Jombang,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.17","35",1109.8354106753,4, , ,Jombang,Jawa Timur, , , ,0,2.0547731924402,0.0909305744611916
317,Karanganyar,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.13","33",803.021489366533,4, , ,Karanganyar,Jawa Tengah, , , ,0,1.96741167867085,0.0658030963393223
318,Karangasem,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"51.07","51",839.317447425272,4, , ,Karangasem,Bali, , , ,0,1.47574931269094,0.0689022516768565
319,Karawang,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.15","32",1913.71281862749,4, , ,Karawang,Jawa Barat, , , ,0,2.94117691537487,0.156377753924208
320,Kebumen,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.05","33",1334.09959840576,4, , ,Kebumen,Jawa Tengah, , , ,0,1.98554035888676,0.109332154685353
321,Kediri,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.06","35",1523.56312463028,4, , ,Kediri,Jawa Timur, , , ,0,2.77601680584036,0.124909211658951
322,Kendal,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.24","33",1008.12424049296,4, , ,Kendal,Jawa Tengah, , , ,0,2.29849983115671,0.0825063382535564
323,Klaten,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.10","33",701.510638798404,4, , ,Klaten,Jawa Tengah, , , ,0,1.62636305536766,0.057494242214973
324,Klungkung,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"51.05","51",313.960079395402,4, , ,Klungkung,Bali, , , ,0,1.52903917983346,0.0257932169994356
