Kabupaten/Kota,Provinsi,KATEGORI,NCPR,ENERGI,PROHE,CBPK,MISKIN,CVHARGA,POU,RLSP,TNPAIR,TNPLISTRIK,NAKES,AHH,AMANPANGN,PPH,STUNTING,BANSOS,IKP
Mojokerto,Jawa Timur,Sangat Tahan,0.56,101.0,80.2,100.0,9.8,6.3,6.6,9.09,11.5,0.03,0.3,73.25,89.0,95.7,16.2,7083693000000.0,83.02
Jombang,Jawa Timur,Sangat Tahan,0.61,95.7,74.2,0.0,9.2,5.6,9.0,8.65,16.4,0.0,0.29,73.22,81.8,95.2,18.0,7083693000000.0,72.84
Nganjuk,Jawa Timur,Sangat Tahan,0.42,101.2,59.8,0.0,10.9,5.8,9.0,8.27,26.3,0.0,0.52,72.28,92.7,92.9,17.1,7083693000000.0,71.42
Madiun,Jawa Timur,Sangat Tahan,0.32,98.6,60.9,36.9,11.0,5.6,12.5,7.81,20.5,0.07,0.65,72.28,89.8,93.1,16.5,7083693000000.0,73.99
Magetan,Jawa Timur,Sangat Tahan,0.36,95.8,61.1,55.8,9.8,7.0,9.3,8.48,17.5,0.0,0.38,73.29,92.6,91.6,19.2,7083693000000.0,75.28
Ngawi,Jawa Timur,Sangat Tahan,0.19,97.9,62.1,2.3,14.4,7.2,12.3,7.81,11.1,0.0,0.56,73.2,82.7,92.5,14.0,7083693000000.0,70.1
Bojonegoro,Jawa Timur,Sangat Tahan,0.3,102.8,62.7,0.0,12.2,7.0,8.1,7.44,10.9,0.0,0.67,72.57,97.8,89.7,14.1,7083693000000.0,71.95
Tuban,Jawa Timur,Sangat Tahan,0.31,103.1,86.6,0.0,14.9,6.8,6.8,7.46,7.1,0.0,0.79,72.36,86.5,94.7,17.8,7083693000000.0,73.66
Lamongan,Jawa Timur,Sangat Tahan,0.28,106.5,104.3,7.1,12.4,7.3,5.1,8.29,5.0,0.0,0.4,73.22,38.7,94.9,9.4,7083693000000.0,75.19
Gresik,Jawa Timur,Sangat Tahan,0.54,94.0,100.7,0.0,11.0,5.3,3.7,10.2,0.8,0.0,0.27,73.3,87.3,94.0,15.4,7083693000000.0,77.82
Bangkalan,Jawa Timur,Tahan,0.76,93.5,74.7,0.0,19.4,6.6,9.2,6.04,34.5,0.0,0.49,70.79,37.4,78.8,10.2,7083693000000.0,62.87
Sampang,Jawa Timur,Tahan,0.5,93.9,70.7,16.7,21.8,6.2,9.1,5.46,11.3,0.0,0.55,68.64,32.0,73.2,14.1,7083693000000.0,63.85
Pamekasan,Jawa Timur,Tahan,0.97,90.3,61.0,0.0,13.9,5.9,9.4,7.28,10.8,0.0,0.32,68.31,48.7,75.6,25.1,7083693000000.0,63.96
Sumenep,Jawa Timur,Sangat Tahan,0.43,120.0,120.0,9.2,18.7,8.2,4.0,5.7,21.2,0.25,0.66,72.47,40.3,99.5,16.7,7083693000000.0,73.79
Kota Kediri,Jawa Timur,Tahan,5.25,94.5,74.3,0.0,7.2,8.0,6.6,10.77,40.2,0.0,0.02,74.67,48.9,94.8,18.6,7083693000000.0,64.71
Kota Blitar,Jawa Timur,Tahan,3.49,89.3,68.0,0.0,7.3,9.1,6.1,10.87,27.4,0.0,0.03,74.66,46.3,89.9,17.7,7083693000000.0,64.86
Kota Malang,Jawa Timur,Tahan,10.0,87.0,77.6,0.0,4.3,5.8,5.0,11.19,11.2,0.0,0.02,74.13,43.4,87.6,17.3,7083693000000.0,63.07
Kota Probolinggo,Jawa Timur,Sangat Tahan,2.91,88.3,71.7,0.0,6.5,5.9,5.3,9.6,8.8,0.0,0.05,70.99,100.0,81.4,31.8,7083693000000.0,69.5
Kota Pasuruan,Jawa Timur,Sangat Tahan,5.16,97.6,94.6,0.0,6.6,5.2,6.0,9.73,8.7,0.0,0.04,72.31,37.2,95.5,11.7,7083693000000.0,70.83
Kota Mojokerto,Jawa Timur,Tahan,8.03,90.3,85.6,0.0,5.8,8.7,5.2,11.32,9.9,0.0,0.01,74.1,37.0,90.8,11.0,7083693000000.0,64.66
Kota Madiun,Jawa Timur,Sangat Tahan,3.19,97.3,88.8,0.0,4.7,6.3,5.8,11.53,1.3,0.0,0.02,73.44,93.0,96.4,12.8,7083693000000.0,76.67
Kota Surabaya,Jawa Timur,Sangat Tahan,10.0,94.8,103.2,0.0,4.7,7.7,4.1,10.71,0.0,0.0,0.02,74.75,90.4,93.9,1.6,7083693000000.0,70.8
Kota Batu,Jawa Timur,Sangat Tahan,6.99,90.7,76.0,100.0,3.3,4.8,5.1,10.05,20.6,0.0,0.19,73.29,44.1,92.2,23.1,7083693000000.0,73.99
Pandeglang,Banten,Sangat Tahan,0.49,106.6,67.7,13.6,9.3,5.9,4.7,7.26,53.7,0.0,1.14,65.58,66.3,81.5,28.6,1318567200000.0,67.94
Lebak,Banten,Sangat Tahan,0.63,118.1,84.3,42.8,8.7,6.5,4.8,6.95,58.5,1.45,1.01,68.13,50.7,93.3,35.5,1318567200000.0,72.07
Tangerang,Banten,Sangat Tahan,2.27,101.4,98.4,61.7,6.9,6.7,2.6,9.16,13.6,0.22,0.11,70.65,75.5,91.6,26.4,1318567200000.0,78.41
Serang,Banten,Sangat Tahan,0.72,105.1,80.6,100.0,4.9,7.2,3.2,8.14,27.4,0.0,0.5,65.6,70.5,93.3,23.9,1318567200000.0,80.62
Kota Tangerang,Banten,Sangat Tahan,10.0,112.8,120.0,100.0,5.9,6.1,1.6,10.76,7.4,0.0,0.02,72.24,83.4,94.5,17.6,1318567200000.0,81.0
Kota Cilegon,Banten,Sangat Tahan,8.0,97.4,94.2,100.0,4.0,5.8,2.2,10.32,11.2,0.0,0.08,67.39,66.6,90.2,22.0,1318567200000.0,77.01
Kota Serang,Banten,Sangat Tahan,2.44,103.0,81.2,93.9,6.2,7.8,2.3,8.72,25.4,0.0,0.1,68.98,41.0,91.5,22.3,1318567200000.0,76.26
Kota Tangerang Selatan,Banten,Sangat Tahan,10.0,95.6,105.7,100.0,2.6,7.7,1.9,11.44,20.3,0.0,0.02,73.11,88.7,89.5,9.2,1318567200000.0,77.35
Jembrana,Bali,Sangat Tahan,0.93,113.5,84.8,0.0,5.0,5.7,7.6,8.4,18.3,0.0,0.77,73.2,86.5,92.6,8.7,359028600000.0,77.18
Tabanan,Bali,Sangat Tahan,0.52,108.3,83.1,26.3,4.7,5.4,3.2,9.0,15.1,0.0,0.35,74.48,65.5,93.2,6.3,359028600000.0,79.37
Badung,Bali,Sangat Tahan,1.02,106.3,99.7,0.0,2.3,5.0,1.2,10.88,7.1,0.0,0.09,75.88,85.9,91.9,4.9,359028600000.0,81.68
Gianyar,Bali,Sangat Tahan,0.8,111.0,72.1,0.0,4.5,5.7,1.7,9.66,5.1,0.0,0.13,74.52,83.7,91.9,6.3,359028600000.0,78.35
Klungkung,Bali,Sangat Tahan,0.98,118.3,68.0,0.0,5.6,5.3,4.9,8.09,13.9,0.0,0.21,72.28,82.3,91.8,4.9,359028600000.0,76.87
Bangli,Bali,Sangat Tahan,1.63,114.4,74.1,0.0,5.3,4.6,3.7,7.67,38.0,0.0,0.34,71.33,64.9,91.7,10.2,359028600000.0,73.47
Karangasem,Bali,Sangat Tahan,1.01,101.6,57.8,69.8,6.6,6.0,8.4,6.22,24.5,0.53,0.6,71.25,72.8,76.8,6.4,359028600000.0,74.24
Buleleng,Bali,Sangat Tahan,1.56,109.3,67.8,14.8,5.9,7.2,7.6,7.35,16.0,0.24,0.55,72.7,68.4,86.4,6.2,359028600000.0,72.69
Kota Denpasar,Bali,Sangat Tahan,5.82,103.7,105.1,14.9,2.7,4.7,1.7,11.37,0.5,0.0,0.01,75.69,97.1,87.7,10.8,359028600000.0,78.84
Lombok Barat,Nusa Tenggara Barat,Sangat Tahan,0.91,118.8,92.2,5.0,13.7,6.0,2.4,7.24,28.8,0.0,0.52,68.08,75.6,95.1,19.9,1199150400000.0,74.6
Lombok Tengah,Nusa Tenggara Barat,Sangat Tahan,0.52,117.7,89.1,43.5,12.9,7.5,3.0,6.97,22.5,0.06,0.37,67.12,58.7,95.0,17.6,1199150400000.0,76.38
Lombok Timur,Nusa Tenggara Barat,Sangat Tahan,0.86,120.0,116.5,16.7,15.6,6.5,1.5,7.59,35.1,0.34,0.35,66.95,76.9,98.1,27.6,1199150400000.0,76.56
Sumbawa,Nusa Tenggara Barat,Sangat Tahan,0.2,105.5,99.6,3.0,13.9,6.8,2.6,8.83,7.0,0.0,2.41,68.54,82.7,89.5,25.7,1199150400000.0,75.14
Dompu,Nusa Tenggara Barat,Sangat Tahan,0.23,104.0,103.6,8.0,12.6,8.1,2.1,9.07,37.6,0.21,1.26,67.76,82.0,90.2,12.4,1199150400000.0,74.38
Bima,Nusa Tenggara Barat,Sangat Tahan,0.26,101.5,100.4,6.5,14.4,7.7,3.2,8.83,25.6,0.14,1.41,67.27,79.5,80.3,36.7,1199150400000.0,70.36
Sumbawa Barat,Nusa Tenggara Barat,Sangat Tahan,0.31,112.3,120.0,59.3,13.0,7.6,0.8,8.88,9.8,0.0,1.83,69.2,74.0,91.1,10.5,1199150400000.0,83.03
Lombok Utara,Nusa Tenggara Barat,Sangat Tahan,0.9,120.0,107.1,100.0,25.8,7.6,2.7,6.36,37.8,0.0,0.87,68.17,74.0,95.3,33.5,1199150400000.0,77.27
Kota Mataram,Nusa Tenggara Barat,Sangat Tahan,5.23,117.9,116.6,0.0,8.6,6.4,0.7,9.45,6.2,0.0,0.01,72.55,68.7,96.3,25.6,1199150400000.0,75.2
Kota Bima,Nusa Tenggara Barat,Sangat Tahan,1.12,93.6,80.1,57.7,8.7,6.2,1.2,10.82,16.6,0.0,0.19,71.19,65.5,82.2,31.8,1199150400000.0,75.0
Kupang,Nusa Tenggara Timur,Tahan,0.76,88.9,48.1,0.0,21.8,8.4,17.1,7.85,35.1,6.77,3.69,65.64,56.2,70.3,38.4,1413488400000.0,55.32
Timor Tengah Selatan,Nusa Tenggara Timur,Tahan,1.06,88.7,41.9,0.0,25.2,9.1,15.4,7.49,32.3,9.06,2.37,66.89,81.0,80.5,50.1,1413488400000.0,55.23
Timor Tengah Utara,Nusa Tenggara Timur,Tahan,0.79,92.6,45.7,0.0,21.9,9.5,17.8,8.48,24.0,2.28,1.63,67.61,4.9,74.9,42.7,1413488400000.0,52.99
Belu,Nusa Tenggara Timur,Tahan,1.11,91.0,50.4,0.0,14.3,11.4,16.1,7.65,36.6,3.45,0.96,65.63,81.2,68.1,48.1,1413488400000.0,55.58
Alor,Nusa Tenggara Timur,Tahan,1.18,85.3,73.7,0.0,20.0,8.4,16.1,8.26,55.0,1.94,1.87,62.35,3.8,79.9,39.3,1413488400000.0,54.07
Flores Timur,Nusa Tenggara Timur,Tahan,2.44,100.7,69.5,0.0,11.8,7.1,19.5,7.91,27.3,1.52,1.05,65.96,17.2,74.6,37.2,1413488400000.0,58.79
Sikka,Nusa Tenggara Timur,Tahan,1.05,83.5,45.0,0.0,12.6,8.7,17.6,7.32,20.4,5.4,0.9,68.3,57.7,69.7,33.3,1413488400000.0,57.51
Ende,Nusa Tenggara Timur,Tahan,1.35,105.4,55.5,0.0,22.9,7.7,13.1,8.51,21.1,0.38,1.11,66.12,36.6,77.9,27.5,1413488400000.0,60.25
Ngada,Nusa Tenggara Timur,Tahan,0.48,96.0,73.8,0.0,12.1,12.0,10.9,9.01,24.9,4.25,1.45,68.71,26.7,83.9,21.3,1413488400000.0,62.42
Manggarai,Nusa Tenggara Timur,Tahan,0.76,103.4,58.1,0.0,19.7,9.3,13.6,7.83,17.7,2.69,0.59,67.63,15.8,77.2,36.8,1413488400000.0,58.2
Sumba Timur,Nusa Tenggara Timur,Tahan,0.63,94.0,56.3,100.0,28.1,9.9,9.9,8.11,43.5,3.08,4.48,65.82,33.9,68.0,26.3,1413488400000.0,62.31
Sumba Barat,Nusa Tenggara Timur,Tahan,0.81,91.6,54.3,0.0,27.2,6.5,14.0,7.33,26.1,12.97,0.89,67.57,13.6,77.8,42.5,1413488400000.0,54.99
Lembata,Nusa Tenggara Timur,Tahan,1.07,90.1,69.2,0.0,24.8,7.5,15.9,7.68,37.6,1.68,1.47,67.87,6.3,79.1,35.1,1413488400000.0,55.28
Rote Ndao,Nusa Tenggara Timur,Rentan,0.84,75.2,47.5,0.0,27.1,8.2,18.6,8.03,26.0,1.36,1.62,65.6,57.4,56.4,39.8,1413488400000.0,51.24
Manggarai Barat,Nusa Tenggara Timur,Tahan,0.41,95.5,53.5,7.8,16.8,7.6,10.4,8.2,32.4,3.06,1.91,68.0,82.5,75.3,36.2,1413488400000.0,62.9
Nagekeo,Nusa Tenggara Timur,Tahan,1.1,84.5,46.5,0.0,12.3,10.8,13.9,8.29,43.8,1.01,1.56,67.91,17.7,71.2,24.9,1413488400000.0,54.19
Sumba Tengah,Nusa Tenggara Timur,Rentan,0.55,88.2,67.2,0.0,31.8,9.4,11.6,7.4,57.4,13.09,2.89,68.87,20.6,71.1,39.5,1413488400000.0,50.85
Sumba Barat Daya,Nusa Tenggara Timur,Rentan,0.65,90.3,44.1,0.0,27.5,8.6,8.0,6.95,63.6,19.7,1.14,68.99,3.4,69.6,44.3,1413488400000.0,48.64
Manggarai Timur,Nusa Tenggara Timur,Rentan,0.65,105.7,44.9,0.0,25.1,10.7,12.9,8.22,48.9,10.11,1.22,68.49,1.1,65.5,43.7,1413488400000.0,50.12
Sabu Raijua,Nusa Tenggara Timur,Tahan,2.29,99.8,76.0,100.0,28.4,6.5,10.6,7.47,53.4,5.35,0.92,61.06,9.8,75.4,36.9,1413488400000.0,62.56
Malaka,Nusa Tenggara Timur,Tahan,0.47,97.2,44.5,0.0,14.4,8.8,15.1,7.42,43.4,4.67,0.9,65.67,68.4,77.0,47.7,1413488400000.0,57.89
Kota Kupang,Nusa Tenggara Timur,Tahan,10.0,84.2,69.3,0.0,8.6,6.1,23.1,11.36,21.6,0.03,0.04,70.52,78.8,75.9,29.9,1413488400000.0,57.15
Sambas,Kalimantan Barat,Tahan,0.66,98.3,104.4,16.9,7.1,6.6,16.8,6.71,92.5,0.19,3.67,69.76,89.1,86.0,30.8,711521400000.0,67.32
Mempawah,Kalimantan Barat,Sangat Tahan,0.79,92.8,102.3,100.0,5.2,7.6,18.9,7.7,81.5,0.0,2.55,71.74,79.8,81.9,27.2,711521400000.0,73.09
Sanggau,Kalimantan Barat,Sangat Tahan,1.33,80.0,83.9,100.0,4.8,6.6,18.5,7.7,43.6,1.52,9.04,71.77,86.5,75.8,22.1,711521400000.0,73.26
Ketapang,Kalimantan Barat,Sangat Tahan,1.12,88.5,96.7,14.4,9.3,5.3,14.6,8.05,45.8,2.37,12.71,71.45,61.0,81.9,22.7,711521400000.0,68.17
Sintang,Kalimantan Barat,Sangat Tahan,1.53,90.5,88.2,100.0,8.2,5.5,13.6,7.89,38.4,5.32,12.07,72.41,80.9,84.1,24.8,711521400000.0,76.17
Kapuas Hulu,Kalimantan Barat,Sangat Tahan,1.86,99.4,103.9,0.0,8.2,4.2,12.7,8.16,41.9,3.1,22.35,72.88,72.2,87.2,16.7,711521400000.0,71.69
Bengkayang,Kalimantan Barat,Sangat Tahan,0.76,98.5,90.0,61.2,6.3,6.9,15.2,8.15,40.0,2.75,4.09,74.2,60.1,84.7,32.7,711521400000.0,72.27
Landak,Kalimantan Barat,Sangat Tahan,0.65,103.5,92.4,20.7,10.0,6.1,10.4,7.6,54.8,5.47,7.32,73.77,77.4,86.5,31.0,711521400000.0,70.23
Sekadau,Kalimantan Barat,Sangat Tahan,1.37,92.8,84.2,42.9,5.9,6.3,20.1,7.18,67.9,4.31,7.16,72.74,75.1,80.9,12.2,711521400000.0,68.71
Melawi,Kalimantan Barat,Tahan,4.05,92.6,82.1,0.0,11.1,5.2,19.7,7.63,46.9,6.43,10.67,73.32,28.8,80.0,35.3,711521400000.0,58.74
Kayong Utara,Kalimantan Barat,Sangat Tahan,0.65,99.9,93.0,71.8,9.1,6.4,11.9,6.58,60.2,0.72,7.7,69.22,69.6,84.4,22.9,711521400000.0,72.99
Kubu Raya,Kalimantan Barat,Tahan,1.9,83.9,74.7,25.1,4.2,7.0,19.6,7.5,85.4,0.0,5.49,71.26,72.1,72.6,25.4,711521400000.0,61.28
Kota Pontianak,Kalimantan Barat,Sangat Tahan,10.0,88.6,113.8,100.0,4.5,8.5,9.7,10.34,57.9,0.0,0.03,73.87,81.0,82.0,16.7,711521400000.0,69.77
Kota Singkawang,Kalimantan Barat,Sangat Tahan,3.16,88.5,103.5,42.5,4.7,5.1,9.3,8.5,47.3,0.07,0.3,72.81,65.7,83.2,20.1,711521400000.0,71.76
Kotawaringin Barat,Kalimantan Tengah,Sangat Tahan,9.95,100.3,101.2,100.0,4.2,3.3,6.5,8.94,13.5,0.02,8.01,71.28,86.9,94.3,17.9,216751200000.0,78.37
Kotawaringin Timur,Kalimantan Tengah,Sangat Tahan,2.26,105.4,97.9,0.0,5.7,4.9,8.4,7.92,26.1,0.31,8.45,70.39,80.4,88.6,35.5,216751200000.0,72.14
Kapuas,Kalimantan Tengah,Sangat Tahan,0.57,102.5,99.3,0.0,5.2,5.3,16.1,8.5,36.5,0.41,11.12,69.23,87.6,85.1,16.2,216751200000.0,73.68
Barito Selatan,Kalimantan Tengah,Sangat Tahan,3.23,105.4,92.6,0.0,4.7,3.6,11.7,9.4,34.1,0.24,6.39,67.75,78.1,84.2,23.9,216751200000.0,71.8
Barito Utara,Kalimantan Tengah,Sangat Tahan,1.47,94.7,91.8,0.0,5.4,4.1,13.2,8.95,19.3,3.01,9.96,71.68,33.7,79.8,15.3,216751200000.0,70.06
Katingan,Kalimantan Tengah,Sangat Tahan,0.84,100.9,105.1,100.0,5.0,5.6,7.5,9.25,34.5,3.23,21.48,66.43,71.3,86.0,34.0,216751200000.0,80.66
Seruyan,Kalimantan Tengah,Tahan,3.53,98.7,89.4,0.0,7.1,4.8,7.1,7.78,30.9,2.22,18.29,69.63,25.5,88.1,25.8,216751200000.0,66.47
Sukamara,Kalimantan Tengah,Sangat Tahan,4.93,101.9,120.0,0.0,4.0,7.2,6.4,8.51,23.1,1.99,8.22,72.03,30.3,92.2,29.1,216751200000.0,68.9
Lamandau,Kalimantan Tengah,Sangat Tahan,4.9,110.2,120.0,0.0,3.1,5.4,7.1,8.63,24.8,5.36,12.59,69.84,30.0,94.1,13.2,216751200000.0,72.79
Gunung Mas,Kalimantan Tengah,Sangat Tahan,10.0,92.3,102.6,100.0,5.5,7.5,8.2,9.48,43.5,0.26,10.31,70.96,73.0,80.6,12.9,216751200000.0,70.23
Pulang Pisau,Kalimantan Tengah,Sangat Tahan,0.28,110.9,89.6,0.0,4.6,6.6,10.7,8.58,44.9,0.0,14.03,68.6,63.4,94.5,24.0,216751200000.0,72.52
Murung Raya,Kalimantan Tengah,Tahan,10.0,95.4,78.5,57.2,6.4,4.7,9.0,8.38,49.6,4.61,23.69,69.94,78.1,79.8,21.0,216751200000.0,64.91
Barito Timur,Kalimantan Tengah,Sangat Tahan,1.05,105.3,102.5,0.0,6.6,6.3,10.9,9.96,33.8,0.05,4.63,68.91,87.7,85.6,21.7,216751200000.0,73.96
Kota Palangkaraya,Kalimantan Tengah,Sangat Tahan,10.0,98.0,120.0,0.0,3.4,3.3,6.3,11.69,8.7,0.0,1.13,73.7,59.5,92.2,28.0,216751200000.0,70.56
Tanah Laut,Kalimantan Selatan,Sangat Tahan,0.9,109.0,120.0,2.3,3.7,7.8,4.1,8.09,29.0,0.0,2.79,70.11,55.5,89.7,41.7,367825200000.0,73.08
Kotabaru,Kalimantan Selatan,Sangat Tahan,2.37,97.9,119.0,100.0,4.3,4.6,4.4,7.66,22.6,0.0,8.06,69.77,66.4,84.3,20.1,367825200000.0,82.22
Banjar,Kalimantan Selatan,Sangat Tahan,0.89,101.6,117.3,18.5,2.4,9.4,5.6,8.18,28.9,0.1,2.01,68.01,69.4,85.6,30.1,367825200000.0,73.82
Barito Kuala,Kalimantan Selatan,Sangat Tahan,0.31,105.8,107.9,56.8,4.6,4.2,6.7,7.9,35.7,0.43,2.63,66.8,82.0,87.8,15.9,367825200000.0,81.49
Tapin,Kalimantan Selatan,Sangat Tahan,0.34,112.6,120.0,24.8,3.2,4.0,4.1,8.13,24.0,0.18,2.4,71.16,72.3,90.1,14.4,367825200000.0,82.39
Hulu Sungai Selatan,Kalimantan Selatan,Sangat Tahan,0.49,108.7,120.0,100.0,4.0,4.3,6.3,8.19,30.5,0.11,1.31,66.9,71.0,90.8,25.4,367825200000.0,85.63
Hulu Sungai Tengah,Kalimantan Selatan,Sangat Tahan,0.44,112.0,118.2,6.1,5.8,12.1,5.5,8.46,40.0,0.08,1.25,66.86,76.9,94.1,13.0,367825200000.0,74.54
Hulu Sungai Utara,Kalimantan Selatan,Sangat Tahan,0.54,101.6,103.0,0.5,6.3,9.3,5.6,8.06,27.7,0.0,0.95,64.97,63.3,82.3,36.0,367825200000.0,69.36
Tabalong,Kalimantan Selatan,Sangat Tahan,0.79,102.0,110.6,100.0,5.8,7.9,4.1,9.21,20.3,0.1,3.12,71.28,58.0,86.6,18.1,367825200000.0,81.95
Tanah Bumbu,Kalimantan Selatan,Sangat Tahan,1.44,103.6,120.0,18.4,4.1,5.6,2.3,8.53,11.3,0.0,2.95,70.94,62.1,90.1,25.1,367825200000.0,78.3
Balangan,Kalimantan Selatan,Sangat Tahan,1.03,103.8,94.3,40.3,5.2,5.7,6.0,8.36,12.8,0.18,2.35,68.4,50.9,86.7,33.4,367825200000.0,75.34
Kota Banjarmasin,Kalimantan Selatan,Sangat Tahan,10.0,97.3,120.0,100.0,4.6,5.0,3.6,10.05,0.0,0.0,0.02,71.89,77.8,86.2,26.5,367825200000.0,77.93
Kota Banjarbaru,Kalimantan Selatan,Sangat Tahan,10.0,100.2,120.0,100.0,3.9,9.7,2.3,11.05,13.9,0.0,0.18,72.62,73.0,90.2,12.4,367825200000.0,76.62
Paser,Kalimantan Timur,Sangat Tahan,1.52,96.3,108.2,100.0,9.1,7.3,12.0,9.35,16.5,0.0,7.27,72.99,87.0,89.0,22.4,198180000000.0,80.94
Kutai Kartanegara,Kalimantan Timur,Sangat Tahan,1.12,97.0,117.7,56.5,7.6,6.7,10.6,9.15,2.5,0.03,10.69,72.75,83.2,88.6,17.6,198180000000.0,80.81
Berau,Kalimantan Timur,Sangat Tahan,1.97,95.1,118.9,100.0,5.5,9.9,7.9,9.54,6.6,0.0,14.55,72.41,86.8,86.9,23.0,198180000000.0,81.57
Kutai Barat,Kalimantan Timur,Sangat Tahan,4.92,101.7,120.0,0.0,9.7,6.5,12.6,8.9,21.4,0.06,10.26,73.19,57.6,87.4,22.0,198180000000.0,69.12
Kutai Timur,Kalimantan Timur,Sangat Tahan,2.15,98.6,116.0,100.0,9.1,7.5,8.7,9.4,12.5,0.66,13.67,73.57,73.7,88.1,29.0,198180000000.0,80.38
Penajam Paser Utara,Kalimantan Timur,Sangat Tahan,0.81,93.4,91.2,47.1,7.0,6.7,16.3,8.65,4.3,0.28,3.81,71.83,85.9,82.9,24.6,198180000000.0,75.4
Mahakam Ulu,Kalimantan Timur,Tahan,8.09,97.6,100.4,0.0,11.4,7.5,13.8,9.1,12.8,1.04,47.25,72.46,16.8,84.2,22.6,198180000000.0,60.6
Kota Balikpapan,Kalimantan Timur,Sangat Tahan,10.0,94.9,119.8,100.0,2.3,5.9,7.0,10.67,2.1,0.0,0.13,74.89,84.1,88.6,21.6,198180000000.0,78.4
Kota Samarinda,Kalimantan Timur,Sangat Tahan,10.0,94.1,120.0,45.5,4.8,5.5,7.9,11.41,0.9,0.0,0.16,74.68,81.5,84.8,24.4,198180000000.0,73.07
Kota Bontang,Kalimantan Timur,Sangat Tahan,10.0,89.8,120.0,94.8,4.1,5.6,7.0,11.12,0.0,0.23,0.13,74.67,98.8,86.7,27.4,198180000000.0,77.66
Bulungan,Kalimantan Utara,Sangat Tahan,2.2,98.1,111.5,3.1,9.0,4.4,15.4,9.06,18.8,0.0,13.78,72.78,72.9,92.0,22.6,53380200000.0,73.67
Malinau,Kalimantan Utara,Tahan,2.24,87.0,98.4,0.0,6.5,4.8,16.4,9.22,27.5,3.65,42.89,71.51,20.0,81.3,20.5,53380200000.0,66.2
Nunukan,Kalimantan Utara,Sangat Tahan,1.5,88.5,102.1,19.5,5.5,5.0,19.8,8.53,30.1,0.0,13.26,71.42,33.3,80.1,15.8,53380200000.0,69.27
Tana Tidung,Kalimantan Utara,Tahan,9.94,86.2,115.2,0.0,4.6,4.7,16.8,8.66,16.8,3.24,10.43,71.53,88.0,80.3,15.1,53380200000.0,65.75
Kota Tarakan,Kalimantan Utara,Sangat Tahan,3.14,88.7,120.0,0.0,6.1,5.1,12.8,10.57,3.6,0.0,0.17,74.08,85.1,80.7,14.8,53380200000.0,74.62
Bolaang Mongondow,Sulawesi Utara,Tahan,0.35,100.6,78.3,0.0,7.4,9.8,6.4,8.81,28.5,0.0,3.02,70.07,18.8,82.9,24.8,314055600000.0,65.27
Minahasa,Sulawesi Utara,Sangat Tahan,1.81,106.5,120.0,0.0,6.9,6.0,5.4,10.61,20.9,0.0,0.71,71.82,75.0,92.0,23.1,314055600000.0,76.91
Kepulauan Sangihe,Sulawesi Utara,Tahan,4.75,92.0,95.7,0.0,11.0,6.3,11.1,9.23,27.4,1.79,0.65,70.78,67.8,75.4,19.0,314055600000.0,65.13
Kepulauan Talaud,Sulawesi Utara,Sangat Tahan,1.03,93.6,107.3,19.7,8.5,5.6,7.3,10.01,29.8,0.13,1.41,70.91,6.8,80.2,19.3,314055600000.0,70.11
Minahasa Selatan,Sulawesi Utara,Sangat Tahan,2.6,104.7,114.7,1.0,8.9,5.6,9.2,9.76,21.3,0.0,2.02,70.71,1.3,86.8,26.4,314055600000.0,69.07
Minahasa Utara,Sulawesi Utara,Sangat Tahan,2.44,99.5,120.0,100.0,6.7,5.6,7.1,10.49,10.9,0.32,0.78,71.99,21.8,86.5,10.9,314055600000.0,81.58
Minahasa Tenggara,Sulawesi Utara,Sangat Tahan,2.02,104.3,103.7,0.0,11.8,6.8,7.3,9.18,13.7,0.21,1.4,70.86,70.2,84.9,15.0,314055600000.0,72.57
Bolaang Mongondow Utara,Sulawesi Utara,Sangat Tahan,0.81,97.8,85.9,70.1,7.9,6.7,8.5,8.92,26.8,0.21,2.91,68.33,87.1,77.1,27.8,314055600000.0,75.55
Kep. Siau Tagulandang Biaro,Sulawesi Utara,Tahan,10.0,93.1,89.1,19.3,8.8,6.2,8.9,9.68,50.0,3.2,0.44,71.59,29.0,76.0,24.9,314055600000.0,57.82
Bolaang Mongondow Timur,Sulawesi Utara,Sangat Tahan,1.85,105.7,94.9,0.0,5.8,5.6,6.5,8.61,23.2,0.28,1.14,68.51,11.9,87.0,28.4,314055600000.0,68.97
Bolaang Mongondow Selatan,Sulawesi Utara,Sangat Tahan,1.51,96.3,89.7,83.2,12.0,6.7,6.6,8.65,27.5,0.28,3.16,64.95,26.0,79.6,33.0,314055600000.0,71.36
Kota Manado,Sulawesi Utara,Sangat Tahan,10.0,94.4,112.9,100.0,5.8,5.8,4.6,11.25,2.9,0.0,0.03,72.5,55.9,83.6,21.8,314055600000.0,75.19
Kota Bitung,Sulawesi Utara,Sangat Tahan,10.0,105.0,116.8,84.1,6.6,4.7,3.9,10.11,4.4,0.01,0.29,71.68,7.4,87.8,19.5,314055600000.0,73.26
Kota Tomohon,Sulawesi Utara,Sangat Tahan,3.36,105.4,120.0,100.0,5.6,4.9,3.8,11.24,19.8,0.0,0.19,72.84,81.8,92.5,10.5,314055600000.0,86.58
Kota Kotamobagu,Sulawesi Utara,Sangat Tahan,1.68,97.3,99.0,0.0,5.0,5.7,4.6,10.08,17.6,0.0,0.11,71.34,28.4,88.2,20.5,314055600000.0,71.84
